family,dataset,concept,superclass,n_examples
pali,pixelprose,bear,animal,4
pali,pixelprose,cap,clothing,4
pali,pixelprose,camera,electronics,4
pali,pixelprose,apple,food_kitchen,4
pali,pixelprose,backpack,furniture_object,4
pali,pixelprose,baby,person,4
pali,pixelprose,bathroom,scene_nature,4
pali,pixelprose,ball,sports,4
pali,pixelprose,airplane,vehicle,4
pali,pixelprose,bird,animal,4
pali,pixelprose,coat,clothing,4
pali,pixelprose,cell phone,electronics,4
pali,pixelprose,banana,food_kitchen,4
pali,pixelprose,bag,furniture_object,4
pali,pixelprose,boy,person,4
pali,pixelprose,beach,scene_nature,4
pali,pixelprose,baseball,sports,4
pali,pixelprose,bicycle,vehicle,4
pali,pixelprose,cat,animal,4
pali,pixelprose,dress,clothing,4
pali,pixelprose,computer,electronics,4
pali,pixelprose,bottle,food_kitchen,4
pali,pixelprose,bed,furniture_object,4
pali,pixelprose,child,person,4
pali,pixelprose,bridge,scene_nature,4
pali,pixelprose,bat,sports,4
pali,pixelprose,boat,vehicle,4
pali,pixelprose,chicken,animal,4
pali,pixelprose,glasses,clothing,4
pali,pixelprose,headphones,electronics,4
pali,pixelprose,bowl,food_kitchen,4
pali,pixelprose,bench,furniture_object,4
pali,pixelprose,couple,person,4
pali,pixelprose,building,scene_nature,4
pali,pixelprose,court,sports,4
pali,pixelprose,bus,vehicle,4
pali,pixelprose,cow,animal,4
pali,pixelprose,hat,clothing,4
pali,pixelprose,keyboard,electronics,4
pali,pixelprose,bread,food_kitchen,4
pali,pixelprose,blanket,furniture_object,4
pali,pixelprose,crowd,person,4
pali,pixelprose,ceiling,scene_nature,4
pali,pixelprose,field,sports,4
pali,pixelprose,car,vehicle,4
pali,pixelprose,deer,animal,4
pali,pixelprose,jacket,clothing,4
pali,pixelprose,laptop,electronics,4
pali,pixelprose,cake,food_kitchen,4
pali,pixelprose,book,furniture_object,4
pali,pixelprose,driver,person,4
pali,pixelprose,city,scene_nature,4
pali,pixelprose,game,sports,4
pali,pixelprose,motorcycle,vehicle,4
pali,pixelprose,dog,animal,4
pali,pixelprose,jeans,clothing,4
pali,pixelprose,microphone,electronics,4
pali,pixelprose,carrot,food_kitchen,4
pali,pixelprose,box,furniture_object,4
pali,pixelprose,family,person,4
pali,pixelprose,cloud,scene_nature,4
pali,pixelprose,glove,sports,4
pali,pixelprose,ship,vehicle,4
pali,pixelprose,duck,animal,4
pali,pixelprose,pants,clothing,4
pali,pixelprose,monitor,electronics,4
pali,pixelprose,coffee,food_kitchen,4
pali,pixelprose,cabinet,furniture_object,4
pali,pixelprose,girl,person,4
pali,pixelprose,fence,scene_nature,4
pali,pixelprose,helmet,sports,4
pali,pixelprose,skateboard,vehicle,4
pali,pixelprose,elephant,animal,4
pali,pixelprose,shirt,clothing,4
pali,pixelprose,phone,electronics,4
pali,pixelprose,cup,food_kitchen,4
pali,pixelprose,chair,furniture_object,4
pali,pixelprose,man,person,4
pali,pixelprose,floor,scene_nature,4
pali,pixelprose,ski,sports,4
pali,pixelprose,subway,vehicle,4
pali,pixelprose,fish,animal,4
pali,pixelprose,shoe,clothing,4
pali,pixelprose,remote,electronics,4
pali,pixelprose,donut,food_kitchen,4
pali,pixelprose,clock,furniture_object,4
pali,pixelprose,people,person,4
pali,pixelprose,flower,scene_nature,4
pali,pixelprose,train,vehicle,4
pali,pixelprose,goat,animal,4
pali,pixelprose,shorts,clothing,4
pali,pixelprose,screen,electronics,4
pali,pixelprose,doughnut,food_kitchen,4
pali,pixelprose,couch,furniture_object,4
pali,pixelprose,person,person,4
pali,pixelprose,forest,scene_nature,4
pali,pixelprose,truck,vehicle,4
pali,pixelprose,horse,animal,4
pali,pixelprose,tie,clothing,4
pali,pixelprose,tablet,electronics,4
pali,pixelprose,fork,food_kitchen,4
pali,pixelprose,desk,furniture_object,4
pali,pixelprose,player,person,4
pali,pixelprose,garden,scene_nature,4
pali,pixelprose,van,vehicle,4
pali,pixelprose,lion,animal,4
pali,pixelprose,uniform,clothing,4
pali,pixelprose,television,electronics,4
pali,pixelprose,glass,food_kitchen,4
pali,pixelprose,door,furniture_object,4
pali,pixelprose,rider,person,4
pali,pixelprose,grass,scene_nature,4
pali,pixelprose,monkey,animal,4
pali,pixelprose,tv,electronics,4
pali,pixelprose,knife,food_kitchen,4
pali,pixelprose,handbag,furniture_object,4
pali,pixelprose,woman,person,4
pali,pixelprose,hill,scene_nature,4
pali,pixelprose,mouse,animal,4
pali,pixelprose,orange,food_kitchen,4
