family,dataset,concept,superclass,n_examples
qwen,flickr30k,bear,animal,4
qwen,flickr30k,cap,clothing,4
qwen,flickr30k,camera,electronics,4
qwen,flickr30k,apple,food_kitchen,4
qwen,flickr30k,backpack,furniture_object,4
qwen,flickr30k,baby,person,4
qwen,flickr30k,bathroom,scene_nature,4
qwen,flickr30k,ball,sports,4
qwen,flickr30k,airplane,vehicle,4
qwen,flickr30k,bird,animal,4
qwen,flickr30k,coat,clothing,4
qwen,flickr30k,cell phone,electronics,4
qwen,flickr30k,banana,food_kitchen,4
qwen,flickr30k,bag,furniture_object,4
qwen,flickr30k,boy,person,4
qwen,flickr30k,beach,scene_nature,4
qwen,flickr30k,baseball,sports,4
qwen,flickr30k,bicycle,vehicle,4
qwen,flickr30k,cat,animal,4
qwen,flickr30k,dress,clothing,4
qwen,flickr30k,computer,electronics,4
qwen,flickr30k,bottle,food_kitchen,4
qwen,flickr30k,bed,furniture_object,4
qwen,flickr30k,child,person,4
qwen,flickr30k,bridge,scene_nature,4
qwen,flickr30k,bat,sports,4
qwen,flickr30k,boat,vehicle,4
qwen,flickr30k,chicken,animal,4
qwen,flickr30k,glasses,clothing,4
qwen,flickr30k,headphones,electronics,4
qwen,flickr30k,bowl,food_kitchen,4
qwen,flickr30k,bench,furniture_object,4
qwen,flickr30k,couple,person,4
qwen,flickr30k,building,scene_nature,4
qwen,flickr30k,court,sports,4
qwen,flickr30k,bus,vehicle,4
qwen,flickr30k,cow,animal,4
qwen,flickr30k,hat,clothing,4
qwen,flickr30k,keyboard,electronics,4
qwen,flickr30k,bread,food_kitchen,4
qwen,flickr30k,blanket,furniture_object,4
qwen,flickr30k,crowd,person,4
qwen,flickr30k,ceiling,scene_nature,4
qwen,flickr30k,field,sports,4
qwen,flickr30k,car,vehicle,4
qwen,flickr30k,dog,animal,4
qwen,flickr30k,jacket,clothing,4
qwen,flickr30k,laptop,electronics,4
qwen,flickr30k,cake,food_kitchen,4
qwen,flickr30k,book,furniture_object,4
qwen,flickr30k,driver,person,4
qwen,flickr30k,city,scene_nature,4
qwen,flickr30k,frisbee,sports,4
qwen,flickr30k,motorcycle,vehicle,4
qwen,flickr30k,duck,animal,4
qwen,flickr30k,jeans,clothing,4
qwen,flickr30k,microphone,electronics,4
qwen,flickr30k,coffee,food_kitchen,4
qwen,flickr30k,box,furniture_object,4
qwen,flickr30k,family,person,4
qwen,flickr30k,cloud,scene_nature,4
qwen,flickr30k,game,sports,4
qwen,flickr30k,scooter,vehicle,4
qwen,flickr30k,fish,animal,4
qwen,flickr30k,pants,clothing,4
qwen,flickr30k,monitor,electronics,4
qwen,flickr30k,cup,food_kitchen,4
qwen,flickr30k,chair,furniture_object,4
qwen,flickr30k,girl,person,4
qwen,flickr30k,fence,scene_nature,4
qwen,flickr30k,glove,sports,4
qwen,flickr30k,ship,vehicle,4
qwen,flickr30k,goat,animal,4
qwen,flickr30k,shirt,clothing,4
qwen,flickr30k,phone,electronics,4
qwen,flickr30k,fork,food_kitchen,4
qwen,flickr30k,couch,furniture_object,4
qwen,flickr30k,man,person,4
qwen,flickr30k,floor,scene_nature,4
qwen,flickr30k,helmet,sports,4
qwen,flickr30k,skateboard,vehicle,4
qwen,flickr30k,horse,animal,4
qwen,flickr30k,shoe,clothing,4
qwen,flickr30k,remote,electronics,4
qwen,flickr30k,glass,food_kitchen,4
qwen,flickr30k,desk,furniture_object,4
qwen,flickr30k,people,person,4
qwen,flickr30k,flower,scene_nature,4
qwen,flickr30k,racket,sports,4
qwen,flickr30k,subway,vehicle,4
qwen,flickr30k,monkey,animal,4
qwen,flickr30k,shorts,clothing,4
qwen,flickr30k,screen,electronics,4
qwen,flickr30k,hot dog,food_kitchen,4
qwen,flickr30k,door,furniture_object,4
qwen,flickr30k,person,person,4
qwen,flickr30k,forest,scene_nature,4
qwen,flickr30k,ski,sports,4
qwen,flickr30k,taxi,vehicle,4
qwen,flickr30k,mouse,animal,4
qwen,flickr30k,tie,clothing,4
qwen,flickr30k,television,electronics,4
qwen,flickr30k,knife,food_kitchen,4
qwen,flickr30k,handbag,furniture_object,4
qwen,flickr30k,player,person,4
qwen,flickr30k,garden,scene_nature,4
qwen,flickr30k,snowboard,sports,4
qwen,flickr30k,train,vehicle,4
qwen,flickr30k,pig,animal,4
qwen,flickr30k,uniform,clothing,4
qwen,flickr30k,tv,electronics,4
qwen,flickr30k,orange,food_kitchen,4
qwen,flickr30k,lamp,furniture_object,4
qwen,flickr30k,rider,person,4
qwen,flickr30k,grass,scene_nature,4
qwen,flickr30k,surfboard,sports,4
qwen,flickr30k,truck,vehicle,4
qwen,flickr30k,sheep,animal,4
qwen,flickr30k,oven,food_kitchen,4
qwen,flickr30k,mirror,furniture_object,4
