family,dataset,concept,superclass,n_examples
qwen,pixelprose,bear,animal,4
qwen,pixelprose,cap,clothing,4
qwen,pixelprose,camera,electronics,4
qwen,pixelprose,apple,food_kitchen,4
qwen,pixelprose,backpack,furniture_object,4
qwen,pixelprose,baby,person,4
qwen,pixelprose,bathroom,scene_nature,4
qwen,pixelprose,ball,sports,4
qwen,pixelprose,airplane,vehicle,4
qwen,pixelprose,bird,animal,4
qwen,pixelprose,coat,clothing,4
qwen,pixelprose,cell phone,electronics,4
qwen,pixelprose,banana,food_kitchen,4
qwen,pixelprose,bag,furniture_object,4
qwen,pixelprose,boy,person,4
qwen,pixelprose,beach,scene_nature,4
qwen,pixelprose,baseball,sports,4
qwen,pixelprose,bicycle,vehicle,4
qwen,pixelprose,cat,animal,4
qwen,pixelprose,dress,clothing,4
qwen,pixelprose,computer,electronics,4
qwen,pixelprose,bottle,food_kitchen,4
qwen,pixelprose,bed,furniture_object,4
qwen,pixelprose,child,person,4
qwen,pixelprose,bridge,scene_nature,4
qwen,pixelprose,bat,sports,4
qwen,pixelprose,boat,vehicle,4
qwen,pixelprose,chicken,animal,4
qwen,pixelprose,glasses,clothing,4
qwen,pixelprose,headphones,electronics,4
qwen,pixelprose,bowl,food_kitchen,4
qwen,pixelprose,bench,furniture_object,4
qwen,pixelprose,couple,person,4
qwen,pixelprose,building,scene_nature,4
qwen,pixelprose,court,sports,4
qwen,pixelprose,bus,vehicle,4
qwen,pixelprose,cow,animal,4
qwen,pixelprose,hat,clothing,4
qwen,pixelprose,keyboard,electronics,4
qwen,pixelprose,bread,food_kitchen,4
qwen,pixelprose,blanket,furniture_object,4
qwen,pixelprose,crowd,person,4
qwen,pixelprose,ceiling,scene_nature,4
qwen,pixelprose,field,sports,4
qwen,pixelprose,car,vehicle,4
qwen,pixelprose,deer,animal,4
qwen,pixelprose,jacket,clothing,4
qwen,pixelprose,laptop,electronics,4
qwen,pixelprose,cake,food_kitchen,4
qwen,pixelprose,book,furniture_object,4
qwen,pixelprose,driver,person,4
qwen,pixelprose,city,scene_nature,4
qwen,pixelprose,game,sports,4
qwen,pixelprose,motorcycle,vehicle,4
qwen,pixelprose,dog,animal,4
qwen,pixelprose,jeans,clothing,4
qwen,pixelprose,microphone,electronics,4
qwen,pixelprose,carrot,food_kitchen,4
qwen,pixelprose,box,furniture_object,4
qwen,pixelprose,family,person,4
qwen,pixelprose,cloud,scene_nature,4
qwen,pixelprose,glove,sports,4
qwen,pixelprose,ship,vehicle,4
qwen,pixelprose,duck,animal,4
qwen,pixelprose,pants,clothing,4
qwen,pixelprose,monitor,electronics,4
qwen,pixelprose,coffee,food_kitchen,4
qwen,pixelprose,cabinet,furniture_object,4
qwen,pixelprose,girl,person,4
qwen,pixelprose,fence,scene_nature,4
qwen,pixelprose,helmet,sports,4
qwen,pixelprose,skateboard,vehicle,4
qwen,pixelprose,elephant,animal,4
qwen,pixelprose,shirt,clothing,4
qwen,pixelprose,phone,electronics,4
qwen,pixelprose,cup,food_kitchen,4
qwen,pixelprose,chair,furniture_object,4
qwen,pixelprose,man,person,4
qwen,pixelprose,floor,scene_nature,4
qwen,pixelprose,ski,sports,4
qwen,pixelprose,subway,vehicle,4
qwen,pixelprose,fish,animal,4
qwen,pixelprose,shoe,clothing,4
qwen,pixelprose,remote,electronics,4
qwen,pixelprose,donut,food_kitchen,4
qwen,pixelprose,clock,furniture_object,4
qwen,pixelprose,people,person,4
qwen,pixelprose,flower,scene_nature,4
qwen,pixelprose,train,vehicle,4
qwen,pixelprose,goat,animal,4
qwen,pixelprose,shorts,clothing,4
qwen,pixelprose,screen,electronics,4
qwen,pixelprose,doughnut,food_kitchen,4
qwen,pixelprose,couch,furniture_object,4
qwen,pixelprose,person,person,4
qwen,pixelprose,forest,scene_nature,4
qwen,pixelprose,truck,vehicle,4
qwen,pixelprose,horse,animal,4
qwen,pixelprose,tie,clothing,4
qwen,pixelprose,tablet,electronics,4
qwen,pixelprose,fork,food_kitchen,4
qwen,pixelprose,desk,furniture_object,4
qwen,pixelprose,player,person,4
qwen,pixelprose,garden,scene_nature,4
qwen,pixelprose,van,vehicle,4
qwen,pixelprose,lion,animal,4
qwen,pixelprose,uniform,clothing,4
qwen,pixelprose,television,electronics,4
qwen,pixelprose,glass,food_kitchen,4
qwen,pixelprose,door,furniture_object,4
qwen,pixelprose,rider,person,4
qwen,pixelprose,grass,scene_nature,4
qwen,pixelprose,monkey,animal,4
qwen,pixelprose,tv,electronics,4
qwen,pixelprose,knife,food_kitchen,4
qwen,pixelprose,handbag,furniture_object,4
qwen,pixelprose,woman,person,4
qwen,pixelprose,hill,scene_nature,4
qwen,pixelprose,mouse,animal,4
qwen,pixelprose,orange,food_kitchen,4
