concept,superclass,available
bear,animal,4
cap,clothing,4
camera,electronics,4
apple,food_kitchen,4
backpack,furniture_object,4
baby,person,4
bathroom,scene_nature,4
ball,sports,4
airplane,vehicle,4
bird,animal,4
coat,clothing,4
cell phone,electronics,4
banana,food_kitchen,4
bag,furniture_object,4
boy,person,4
beach,scene_nature,4
baseball,sports,4
bicycle,vehicle,4
cat,animal,4
dress,clothing,4
computer,electronics,4
bottle,food_kitchen,4
bed,furniture_object,4
child,person,4
bridge,scene_nature,4
bat,sports,4
boat,vehicle,4
chicken,animal,4
glasses,clothing,4
headphones,electronics,4
bowl,food_kitchen,4
bench,furniture_object,4
couple,person,4
building,scene_nature,4
court,sports,4
bus,vehicle,4
cow,animal,4
hat,clothing,4
keyboard,electronics,4
bread,food_kitchen,4
blanket,furniture_object,4
crowd,person,4
ceiling,scene_nature,4
field,sports,4
car,vehicle,4
deer,animal,4
jacket,clothing,4
laptop,electronics,4
cake,food_kitchen,4
book,furniture_object,4
driver,person,4
city,scene_nature,4
game,sports,4
motorcycle,vehicle,4
dog,animal,4
jeans,clothing,4
microphone,electronics,4
carrot,food_kitchen,4
box,furniture_object,4
family,person,4
cloud,scene_nature,4
glove,sports,4
ship,vehicle,4
duck,animal,4
pants,clothing,4
monitor,electronics,4
coffee,food_kitchen,4
cabinet,furniture_object,4
girl,person,4
fence,scene_nature,4
helmet,sports,4
skateboard,vehicle,4
elephant,animal,4
shirt,clothing,4
phone,electronics,4
cup,food_kitchen,4
chair,furniture_object,4
man,person,4
floor,scene_nature,4
ski,sports,4
subway,vehicle,4
fish,animal,4
shoe,clothing,4
remote,electronics,4
donut,food_kitchen,4
clock,furniture_object,4
people,person,4
flower,scene_nature,4
train,vehicle,4
goat,animal,4
shorts,clothing,4
screen,electronics,4
doughnut,food_kitchen,4
couch,furniture_object,4
person,person,4
forest,scene_nature,4
truck,vehicle,4
horse,animal,4
tie,clothing,4
tablet,electronics,4
fork,food_kitchen,4
desk,furniture_object,4
player,person,4
garden,scene_nature,4
van,vehicle,4
lion,animal,4
uniform,clothing,4
television,electronics,4
glass,food_kitchen,4
door,furniture_object,4
rider,person,4
grass,scene_nature,4
monkey,animal,4
tv,electronics,4
knife,food_kitchen,4
handbag,furniture_object,4
woman,person,4
hill,scene_nature,4
mouse,animal,4
orange,food_kitchen,4
