family,dataset,concept,superclass,n_examples
smol,coco_karpathy,bear,animal,4
smol,coco_karpathy,cap,clothing,4
smol,coco_karpathy,camera,electronics,4
smol,coco_karpathy,apple,food_kitchen,4
smol,coco_karpathy,backpack,furniture_object,4
smol,coco_karpathy,baby,person,4
smol,coco_karpathy,bathroom,scene_nature,4
smol,coco_karpathy,ball,sports,4
smol,coco_karpathy,airplane,vehicle,4
smol,coco_karpathy,bird,animal,4
smol,coco_karpathy,coat,clothing,4
smol,coco_karpathy,cell phone,electronics,4
smol,coco_karpathy,banana,food_kitchen,4
smol,coco_karpathy,bag,furniture_object,4
smol,coco_karpathy,boy,person,4
smol,coco_karpathy,beach,scene_nature,4
smol,coco_karpathy,baseball,sports,4
smol,coco_karpathy,bicycle,vehicle,4
smol,coco_karpathy,cat,animal,4
smol,coco_karpathy,dress,clothing,4
smol,coco_karpathy,computer,electronics,4
smol,coco_karpathy,bottle,food_kitchen,4
smol,coco_karpathy,bed,furniture_object,4
smol,coco_karpathy,child,person,4
smol,coco_karpathy,bridge,scene_nature,4
smol,coco_karpathy,bat,sports,4
smol,coco_karpathy,boat,vehicle,4
smol,coco_karpathy,chicken,animal,4
smol,coco_karpathy,glasses,clothing,4
smol,coco_karpathy,headphones,electronics,4
smol,coco_karpathy,bowl,food_kitchen,4
smol,coco_karpathy,bench,furniture_object,4
smol,coco_karpathy,couple,person,4
smol,coco_karpathy,building,scene_nature,4
smol,coco_karpathy,court,sports,4
smol,coco_karpathy,bus,vehicle,4
smol,coco_karpathy,cow,animal,4
smol,coco_karpathy,hat,clothing,4
smol,coco_karpathy,keyboard,electronics,4
smol,coco_karpathy,bread,food_kitchen,4
smol,coco_karpathy,blanket,furniture_object,4
smol,coco_karpathy,crowd,person,4
smol,coco_karpathy,ceiling,scene_nature,4
smol,coco_karpathy,field,sports,4
smol,coco_karpathy,car,vehicle,4
smol,coco_karpathy,deer,animal,4
smol,coco_karpathy,jacket,clothing,4
smol,coco_karpathy,laptop,electronics,4
smol,coco_karpathy,broccoli,food_kitchen,4
smol,coco_karpathy,book,furniture_object,4
smol,coco_karpathy,driver,person,4
smol,coco_karpathy,city,scene_nature,4
smol,coco_karpathy,frisbee,sports,4
smol,coco_karpathy,fire hydrant,vehicle,4
smol,coco_karpathy,dog,animal,4
smol,coco_karpathy,jeans,clothing,4
smol,coco_karpathy,microphone,electronics,4
smol,coco_karpathy,cake,food_kitchen,4
smol,coco_karpathy,box,furniture_object,4
smol,coco_karpathy,family,person,4
smol,coco_karpathy,cloud,scene_nature,4
smol,coco_karpathy,game,sports,4
smol,coco_karpathy,motorcycle,vehicle,4
smol,coco_karpathy,duck,animal,4
smol,coco_karpathy,pants,clothing,4
smol,coco_karpathy,monitor,electronics,4
smol,coco_karpathy,carrot,food_kitchen,4
smol,coco_karpathy,cabinet,furniture_object,4
smol,coco_karpathy,girl,person,4
smol,coco_karpathy,fence,scene_nature,4
smol,coco_karpathy,glove,sports,4
smol,coco_karpathy,scooter,vehicle,4
smol,coco_karpathy,elephant,animal,4
smol,coco_karpathy,shirt,clothing,4
smol,coco_karpathy,phone,electronics,4
smol,coco_karpathy,coffee,food_kitchen,4
smol,coco_karpathy,chair,furniture_object,4
smol,coco_karpathy,man,person,4
smol,coco_karpathy,floor,scene_nature,4
smol,coco_karpathy,helmet,sports,4
smol,coco_karpathy,ship,vehicle,4
smol,coco_karpathy,fish,animal,4
smol,coco_karpathy,shoe,clothing,4
smol,coco_karpathy,remote,electronics,4
smol,coco_karpathy,cup,food_kitchen,4
smol,coco_karpathy,clock,furniture_object,4
smol,coco_karpathy,people,person,4
smol,coco_karpathy,flower,scene_nature,4
smol,coco_karpathy,kite,sports,4
smol,coco_karpathy,skateboard,vehicle,4
smol,coco_karpathy,giraffe,animal,4
smol,coco_karpathy,shorts,clothing,4
smol,coco_karpathy,screen,electronics,4
smol,coco_karpathy,donut,food_kitchen,4
smol,coco_karpathy,couch,furniture_object,4
smol,coco_karpathy,person,person,4
smol,coco_karpathy,forest,scene_nature,4
smol,coco_karpathy,racket,sports,4
smol,coco_karpathy,stop sign,vehicle,4
smol,coco_karpathy,goat,animal,4
smol,coco_karpathy,tie,clothing,4
smol,coco_karpathy,tablet,electronics,4
smol,coco_karpathy,doughnut,food_kitchen,4
smol,coco_karpathy,desk,furniture_object,4
smol,coco_karpathy,player,person,4
smol,coco_karpathy,garden,scene_nature,4
smol,coco_karpathy,ski,sports,4
smol,coco_karpathy,subway,vehicle,4
smol,coco_karpathy,horse,animal,4
smol,coco_karpathy,uniform,clothing,4
smol,coco_karpathy,television,electronics,4
smol,coco_karpathy,fork,food_kitchen,4
smol,coco_karpathy,door,furniture_object,4
smol,coco_karpathy,rider,person,4
smol,coco_karpathy,grass,scene_nature,4
smol,coco_karpathy,snowboard,sports,4
smol,coco_karpathy,taxi,vehicle,4
smol,coco_karpathy,mouse,animal,4
smol,coco_karpathy,tv,electronics,4
smol,coco_karpathy,glass,food_kitchen,4
