family,dataset,concept,superclass,n_examples
smol,pixelprose,bear,animal,4
smol,pixelprose,cap,clothing,4
smol,pixelprose,camera,electronics,4
smol,pixelprose,apple,food_kitchen,4
smol,pixelprose,backpack,furniture_object,4
smol,pixelprose,baby,person,4
smol,pixelprose,bathroom,scene_nature,4
smol,pixelprose,ball,sports,4
smol,pixelprose,airplane,vehicle,4
smol,pixelprose,bird,animal,4
smol,pixelprose,coat,clothing,4
smol,pixelprose,cell phone,electronics,4
smol,pixelprose,banana,food_kitchen,4
smol,pixelprose,bag,furniture_object,4
smol,pixelprose,boy,person,4
smol,pixelprose,beach,scene_nature,4
smol,pixelprose,baseball,sports,4
smol,pixelprose,bicycle,vehicle,4
smol,pixelprose,cat,animal,4
smol,pixelprose,dress,clothing,4
smol,pixelprose,computer,electronics,4
smol,pixelprose,bottle,food_kitchen,4
smol,pixelprose,bed,furniture_object,4
smol,pixelprose,child,person,4
smol,pixelprose,bridge,scene_nature,4
smol,pixelprose,bat,sports,4
smol,pixelprose,boat,vehicle,4
smol,pixelprose,chicken,animal,4
smol,pixelprose,glasses,clothing,4
smol,pixelprose,headphones,electronics,4
smol,pixelprose,bowl,food_kitchen,4
smol,pixelprose,bench,furniture_object,4
smol,pixelprose,couple,person,4
smol,pixelprose,building,scene_nature,4
smol,pixelprose,court,sports,4
smol,pixelprose,bus,vehicle,4
smol,pixelprose,cow,animal,4
smol,pixelprose,hat,clothing,4
smol,pixelprose,keyboard,electronics,4
smol,pixelprose,bread,food_kitchen,4
smol,pixelprose,blanket,furniture_object,4
smol,pixelprose,crowd,person,4
smol,pixelprose,ceiling,scene_nature,4
smol,pixelprose,field,sports,4
smol,pixelprose,car,vehicle,4
smol,pixelprose,deer,animal,4
smol,pixelprose,jacket,clothing,4
smol,pixelprose,laptop,electronics,4
smol,pixelprose,cake,food_kitchen,4
smol,pixelprose,book,furniture_object,4
smol,pixelprose,driver,person,4
smol,pixelprose,city,scene_nature,4
smol,pixelprose,game,sports,4
smol,pixelprose,motorcycle,vehicle,4
smol,pixelprose,dog,animal,4
smol,pixelprose,jeans,clothing,4
smol,pixelprose,microphone,electronics,4
smol,pixelprose,carrot,food_kitchen,4
smol,pixelprose,box,furniture_object,4
smol,pixelprose,family,person,4
smol,pixelprose,cloud,scene_nature,4
smol,pixelprose,glove,sports,4
smol,pixelprose,ship,vehicle,4
smol,pixelprose,duck,animal,4
smol,pixelprose,pants,clothing,4
smol,pixelprose,monitor,electronics,4
smol,pixelprose,coffee,food_kitchen,4
smol,pixelprose,cabinet,furniture_object,4
smol,pixelprose,girl,person,4
smol,pixelprose,fence,scene_nature,4
smol,pixelprose,helmet,sports,4
smol,pixelprose,skateboard,vehicle,4
smol,pixelprose,elephant,animal,4
smol,pixelprose,shirt,clothing,4
smol,pixelprose,phone,electronics,4
smol,pixelprose,cup,food_kitchen,4
smol,pixelprose,chair,furniture_object,4
smol,pixelprose,man,person,4
smol,pixelprose,floor,scene_nature,4
smol,pixelprose,ski,sports,4
smol,pixelprose,subway,vehicle,4
smol,pixelprose,fish,animal,4
smol,pixelprose,shoe,clothing,4
smol,pixelprose,remote,electronics,4
smol,pixelprose,donut,food_kitchen,4
smol,pixelprose,clock,furniture_object,4
smol,pixelprose,people,person,4
smol,pixelprose,flower,scene_nature,4
smol,pixelprose,train,vehicle,4
smol,pixelprose,goat,animal,4
smol,pixelprose,shorts,clothing,4
smol,pixelprose,screen,electronics,4
smol,pixelprose,doughnut,food_kitchen,4
smol,pixelprose,couch,furniture_object,4
smol,pixelprose,person,person,4
smol,pixelprose,forest,scene_nature,4
smol,pixelprose,truck,vehicle,4
smol,pixelprose,horse,animal,4
smol,pixelprose,tie,clothing,4
smol,pixelprose,tablet,electronics,4
smol,pixelprose,fork,food_kitchen,4
smol,pixelprose,desk,furniture_object,4
smol,pixelprose,player,person,4
smol,pixelprose,garden,scene_nature,4
smol,pixelprose,van,vehicle,4
smol,pixelprose,lion,animal,4
smol,pixelprose,uniform,clothing,4
smol,pixelprose,television,electronics,4
smol,pixelprose,glass,food_kitchen,4
smol,pixelprose,door,furniture_object,4
smol,pixelprose,rider,person,4
smol,pixelprose,grass,scene_nature,4
smol,pixelprose,monkey,animal,4
smol,pixelprose,tv,electronics,4
smol,pixelprose,knife,food_kitchen,4
smol,pixelprose,handbag,furniture_object,4
smol,pixelprose,woman,person,4
smol,pixelprose,hill,scene_nature,4
smol,pixelprose,mouse,animal,4
smol,pixelprose,orange,food_kitchen,4
