concept,superclass,available
cat,animal,4
dog,animal,4
horse,animal,4
cow,animal,4
sheep,animal,4
bird,animal,4
fish,animal,4
elephant,animal,4
bear,animal,4
zebra,animal,4
giraffe,animal,4
duck,animal,4
tiger,animal,4
deer,animal,4
mouse,animal,4
goat,animal,4
chicken,animal,4
car,vehicle,4
truck,vehicle,4
bus,vehicle,4
train,vehicle,4
bicycle,vehicle,4
motorcycle,vehicle,4
boat,vehicle,4
airplane,vehicle,4
van,vehicle,4
taxi,vehicle,4
tram,vehicle,4
subway,vehicle,4
ship,vehicle,4
scooter,vehicle,4
skateboard,vehicle,4
traffic light,vehicle,4
stop sign,vehicle,4
fire hydrant,vehicle,4
person,person,4
man,person,4
woman,person,4
child,person,4
boy,person,4
girl,person,4
baby,person,4
people,person,4
crowd,person,4
player,person,4
skier,person,4
surfer,person,4
rider,person,4
driver,person,4
worker,person,4
couple,person,4
family,person,4
chair,furniture_object,4
table,furniture_object,4
bed,furniture_object,4
sofa,furniture_object,4
couch,furniture_object,4
bench,furniture_object,4
desk,furniture_object,4
shelf,furniture_object,4
cabinet,furniture_object,4
lamp,furniture_object,4
clock,furniture_object,4
mirror,furniture_object,4
door,furniture_object,4
window,furniture_object,4
sign,furniture_object,4
umbrella,furniture_object,4
backpack,furniture_object,4
suitcase,furniture_object,4
handbag,furniture_object,4
book,furniture_object,4
vase,furniture_object,4
pillow,furniture_object,4
blanket,furniture_object,4
box,furniture_object,4
bag,furniture_object,4
phone,electronics,4
cell phone,electronics,4
laptop,electronics,4
computer,electronics,4
keyboard,electronics,4
television,electronics,4
tv,electronics,4
monitor,electronics,4
camera,electronics,4
remote,electronics,4
screen,electronics,4
tablet,electronics,4
headphones,electronics,4
microphone,electronics,4
apple,food_kitchen,4
banana,food_kitchen,4
orange,food_kitchen,4
bread,food_kitchen,4
coffee,food_kitchen,4
tea,food_kitchen,4
pizza,food_kitchen,4
cake,food_kitchen,4
sandwich,food_kitchen,4
hot dog,food_kitchen,4
donut,food_kitchen,4
doughnut,food_kitchen,4
broccoli,food_kitchen,4
carrot,food_kitchen,4
bowl,food_kitchen,4
cup,food_kitchen,4
bottle,food_kitchen,4
glass,food_kitchen,4
plate,food_kitchen,4
fork,food_kitchen,4
knife,food_kitchen,4
spoon,food_kitchen,4
pot,food_kitchen,4
pan,food_kitchen,4
wine glass,food_kitchen,4
sink,food_kitchen,4
refrigerator,food_kitchen,4
oven,food_kitchen,4
toaster,food_kitchen,4
ball,sports,4
baseball,sports,4
tennis,sports,4
frisbee,sports,4
ski,sports,4
snowboard,sports,4
surfboard,sports,4
kite,sports,4
bat,sports,4
glove,sports,4
racket,sports,4
helmet,sports,4
field,sports,4
court,sports,4
game,sports,4
shirt,clothing,4
pants,clothing,4
jacket,clothing,4
hat,clothing,4
shoe,clothing,4
dress,clothing,4
tie,clothing,4
coat,clothing,4
shorts,clothing,4
uniform,clothing,4
jeans,clothing,4
cap,clothing,4
glasses,clothing,4
street,scene_nature,4
road,scene_nature,4
sidewalk,scene_nature,4
building,scene_nature,4
house,scene_nature,4
room,scene_nature,4
kitchen,scene_nature,4
bathroom,scene_nature,4
beach,scene_nature,4
park,scene_nature,4
forest,scene_nature,4
mountain,scene_nature,4
river,scene_nature,4
lake,scene_nature,4
ocean,scene_nature,4
sky,scene_nature,4
tree,scene_nature,4
flower,scene_nature,4
grass,scene_nature,4
snow,scene_nature,4
water,scene_nature,4
cloud,scene_nature,4
bridge,scene_nature,4
fence,scene_nature,4
wall,scene_nature,4
city,scene_nature,4
yard,scene_nature,4
garden,scene_nature,4
hill,scene_nature,4
path,scene_nature,4
floor,scene_nature,4
ceiling,scene_nature,4
