family,dataset,pooling,audit,layer_idx,depth_fraction,llm_layer_number,vlm_layer_number,layer_number,seed,width_factor,d_sae,l1,normalize,dom_margin,train_examples,eval_examples,sae_steps,MFI,MFI_ci_low,MFI_ci_high,FMP,image_driven_frac,text_driven_frac,both_driven_frac,mean_text_delta,mean_image_delta,matched_gini,matched_eff_dim,image_only_mean_activation,llm_mean_activation,vlm_train_rec_r2,vlm_eval_rec_r2,llm_train_rec_r2,vlm_eval_l0,vlm_eval_active_frac,vlm_eval_dead_frac,vlm_eval_z_abs_mean
qwen,flickr30k,last_token,True,0,0.0,0,0,0,11,2.0,4096,0.001,False,1.1,1024,512,1200,0.010609406977891922,0.010375293341394354,0.010837724890802746,0.0634765625,0.0087890625,0.061279296875,0.006591796875,0.006651808507740498,0.003957598004490137,0.9571452084499531,180.13475074302926,0.029197225347161293,0.03422477841377258,0.9957388766072849,0.9952843602937185,0.996690548507762,249.482421875,0.06090879440307617,0.92919921875,0.028505418449640274
qwen,flickr30k,last_token,True,0,0.0,0,0,0,11,2.0,4096,0.001,False,1.25,1024,512,1200,0.010609406977891922,0.010375293341394354,0.010837724890802746,0.04931640625,0.00634765625,0.056640625,0.013671875,0.006651808507740498,0.003957598004490137,0.9571452084499531,180.13475074302926,0.029197225347161293,0.03422477841377258,0.9957388766072849,0.9952843602937185,0.996690548507762,249.482421875,0.06090879440307617,0.92919921875,0.028505418449640274
qwen,flickr30k,last_token,True,0,0.0,0,0,0,11,2.0,4096,0.001,False,1.5,1024,512,1200,0.010609406977891922,0.010375293341394354,0.010837724890802746,0.0244140625,0.0048828125,0.045654296875,0.026123046875,0.006651808507740498,0.003957598004490137,0.9571452084499531,180.13475074302926,0.029197225347161293,0.03422477841377258,0.9957388766072849,0.9952843602937185,0.996690548507762,249.482421875,0.06090879440307617,0.92919921875,0.028505418449640274
qwen,flickr30k,last_token,True,1,0.14285714285714285,5,5,5,11,2.0,4096,0.001,False,1.1,1024,512,1200,0.02847478911280632,0.028005865781324246,0.028988582160400254,0.0693359375,0.00927734375,0.073974609375,0.013916015625,0.016780804842710495,0.011693984270095825,0.9402546974744355,261.18475140772495,0.07433769851922989,0.07029781490564346,0.9964898326016124,0.9956081482194481,0.9946565143111539,329.205078125,0.08037233352661133,0.908447265625,0.07274115830659866
qwen,flickr30k,last_token,True,1,0.14285714285714285,5,5,5,11,2.0,4096,0.001,False,1.25,1024,512,1200,0.02847478911280632,0.028005865781324246,0.028988582160400254,0.04296875,0.006591796875,0.0634765625,0.027099609375,0.016780804842710495,0.011693984270095825,0.9402546974744355,261.18475140772495,0.07433769851922989,0.07029781490564346,0.9964898326016124,0.9956081482194481,0.9946565143111539,329.205078125,0.08037233352661133,0.908447265625,0.07274115830659866
qwen,flickr30k,last_token,True,1,0.14285714285714285,5,5,5,11,2.0,4096,0.001,False,1.5,1024,512,1200,0.02847478911280632,0.028005865781324246,0.028988582160400254,0.0009765625,0.004150390625,0.044921875,0.048095703125,0.016780804842710495,0.011693984270095825,0.9402546974744355,261.18475140772495,0.07433769851922989,0.07029781490564346,0.9964898326016124,0.9956081482194481,0.9946565143111539,329.205078125,0.08037233352661133,0.908447265625,0.07274115830659866
qwen,flickr30k,last_token,True,2,0.2857142857142857,10,10,10,11,2.0,4096,0.001,False,1.1,1024,512,1200,0.08452457189559937,0.08344585549784825,0.08553559621013847,0.051513671875,0.015869140625,0.064208984375,0.028564453125,0.04586692154407501,0.03865765035152435,0.9284571526238914,314.42371869637583,0.11200340837240219,0.13616912066936493,0.9924861987891874,0.9881115161777055,0.9930634569283242,337.98046875,0.08251476287841797,0.89990234375,0.12022966146469116
qwen,flickr30k,last_token,True,2,0.2857142857142857,10,10,10,11,2.0,4096,0.001,False,1.25,1024,512,1200,0.08452457189559937,0.08344585549784825,0.08553559621013847,-0.006103515625,0.01025390625,0.041015625,0.057373046875,0.04586692154407501,0.03865765035152435,0.9284571526238914,314.42371869637583,0.11200340837240219,0.13616912066936493,0.9924861987891874,0.9881115161777055,0.9930634569283242,337.98046875,0.08251476287841797,0.89990234375,0.12022966146469116
qwen,flickr30k,last_token,True,2,0.2857142857142857,10,10,10,11,2.0,4096,0.001,False,1.5,1024,512,1200,0.08452457189559937,0.08344585549784825,0.08553559621013847,-0.053955078125,0.0068359375,0.0205078125,0.081298828125,0.04586692154407501,0.03865765035152435,0.9284571526238914,314.42371869637583,0.11200340837240219,0.13616912066936493,0.9924861987891874,0.9881115161777055,0.9930634569283242,337.98046875,0.08251476287841797,0.89990234375,0.12022966146469116
qwen,flickr30k,last_token,True,3,0.42857142857142855,15,15,15,11,2.0,4096,0.001,False,1.1,1024,512,1200,0.11827275156974792,0.11670361615833827,0.11995519388619869,0.07177734375,0.017333984375,0.0830078125,0.028564453125,0.06417104601860046,0.054101698100566864,0.9165775140729235,368.25686788694446,0.15423165261745453,0.1826052963733673,0.9942001378068783,0.9905938413666099,0.9944182890147316,406.078125,0.09914016723632812,0.88330078125,0.1709216982126236
qwen,flickr30k,last_token,True,3,0.42857142857142855,15,15,15,11,2.0,4096,0.001,False,1.25,1024,512,1200,0.11827275156974792,0.11670361615833827,0.11995519388619869,-0.00439453125,0.010498046875,0.0517578125,0.066650390625,0.06417104601860046,0.054101698100566864,0.9165775140729235,368.25686788694446,0.15423165261745453,0.1826052963733673,0.9942001378068783,0.9905938413666099,0.9944182890147316,406.078125,0.09914016723632812,0.88330078125,0.1709216982126236
qwen,flickr30k,last_token,True,3,0.42857142857142855,15,15,15,11,2.0,4096,0.001,False,1.5,1024,512,1200,0.11827275156974792,0.11670361615833827,0.11995519388619869,-0.0654296875,0.008056640625,0.023681640625,0.09716796875,0.06417104601860046,0.054101698100566864,0.9165775140729235,368.25686788694446,0.15423165261745453,0.1826052963733673,0.9942001378068783,0.9905938413666099,0.9944182890147316,406.078125,0.09914016723632812,0.88330078125,0.1709216982126236
qwen,flickr30k,last_token,True,4,0.5714285714285714,20,20,20,11,2.0,4096,0.001,False,1.1,1024,512,1200,0.22832925617694855,0.2256269977100601,0.23063590757519706,0.02587890625,0.024658203125,0.068603515625,0.0673828125,0.11869296431541443,0.10963629186153412,0.9060768592502983,412.86236278469875,0.18166908621788025,0.25273433327674866,0.9932966880741091,0.988776542286585,0.9955194396659873,449.181640625,0.10966348648071289,0.87255859375,0.22917062044143677
qwen,flickr30k,last_token,True,4,0.5714285714285714,20,20,20,11,2.0,4096,0.001,False,1.25,1024,512,1200,0.22832925617694855,0.2256269977100601,0.23063590757519706,-0.0478515625,0.017333984375,0.0390625,0.104248046875,0.11869296431541443,0.10963629186153412,0.9060768592502983,412.86236278469875,0.18166908621788025,0.25273433327674866,0.9932966880741091,0.988776542286585,0.9955194396659873,449.181640625,0.10966348648071289,0.87255859375,0.22917062044143677
qwen,flickr30k,last_token,True,4,0.5714285714285714,20,20,20,11,2.0,4096,0.001,False,1.5,1024,512,1200,0.22832925617694855,0.2256269977100601,0.23063590757519706,-0.091796875,0.014404296875,0.02001953125,0.126220703125,0.11869296431541443,0.10963629186153412,0.9060768592502983,412.86236278469875,0.18166908621788025,0.25273433327674866,0.9932966880741091,0.988776542286585,0.9955194396659873,449.181640625,0.10966348648071289,0.87255859375,0.22917062044143677
qwen,flickr30k,last_token,True,5,0.7142857142857142,25,25,25,11,2.0,4096,0.001,False,1.1,1024,512,1200,0.255906343460083,0.25324426669903916,0.25860028904571664,0.00439453125,0.022216796875,0.04833984375,0.066162109375,0.13067016005516052,0.12523618340492249,0.9301664619527472,304.90082683505324,0.23323149979114532,0.28969570994377136,0.9927052425876164,0.9885448453335799,0.995305025157184,333.916015625,0.08152246475219727,0.903564453125,0.24521182477474213
qwen,flickr30k,last_token,True,5,0.7142857142857142,25,25,25,11,2.0,4096,0.001,False,1.25,1024,512,1200,0.255906343460083,0.25324426669903916,0.25860028904571664,-0.04541015625,0.017822265625,0.02783203125,0.091064453125,0.13067016005516052,0.12523618340492249,0.9301664619527472,304.90082683505324,0.23323149979114532,0.28969570994377136,0.9927052425876164,0.9885448453335799,0.995305025157184,333.916015625,0.08152246475219727,0.903564453125,0.24521182477474213
qwen,flickr30k,last_token,True,5,0.7142857142857142,25,25,25,11,2.0,4096,0.001,False,1.5,1024,512,1200,0.255906343460083,0.25324426669903916,0.25860028904571664,-0.068359375,0.01416015625,0.02001953125,0.1025390625,0.13067016005516052,0.12523618340492249,0.9301664619527472,304.90082683505324,0.23323149979114532,0.28969570994377136,0.9927052425876164,0.9885448453335799,0.995305025157184,333.916015625,0.08152246475219727,0.903564453125,0.24521182477474213
qwen,flickr30k,last_token,True,6,0.8571428571428571,30,30,30,11,2.0,4096,0.001,False,1.1,1024,512,1200,0.2734663188457489,0.26997345509007575,0.2769091409063549,0.002685546875,0.0185546875,0.0302734375,0.046142578125,0.13904663920402527,0.13441967964172363,0.9564656483411872,183.1058371331484,0.417277991771698,0.7484678626060486,0.9947258336940601,0.9935999309217789,0.9962895301467771,228.41796875,0.05576610565185547,0.934326171875,0.39457565546035767
qwen,flickr30k,last_token,True,6,0.8571428571428571,30,30,30,11,2.0,4096,0.001,False,1.25,1024,512,1200,0.2734663188457489,0.26997345509007575,0.2769091409063549,-0.030517578125,0.014892578125,0.017333984375,0.062744140625,0.13904663920402527,0.13441967964172363,0.9564656483411872,183.1058371331484,0.417277991771698,0.7484678626060486,0.9947258336940601,0.9935999309217789,0.9962895301467771,228.41796875,0.05576610565185547,0.934326171875,0.39457565546035767
qwen,flickr30k,last_token,True,6,0.8571428571428571,30,30,30,11,2.0,4096,0.001,False,1.5,1024,512,1200,0.2734663188457489,0.26997345509007575,0.2769091409063549,-0.045654296875,0.012451171875,0.01220703125,0.0703125,0.13904663920402527,0.13441967964172363,0.9564656483411872,183.1058371331484,0.417277991771698,0.7484678626060486,0.9947258336940601,0.9935999309217789,0.9962895301467771,228.41796875,0.05576610565185547,0.934326171875,0.39457565546035767
qwen,flickr30k,last_token,True,7,1.0,35,35,35,11,2.0,4096,0.001,False,1.1,1024,512,1200,0.0915529727935791,0.08997538788880774,0.09305734066292644,0.00830078125,0.012451171875,0.020263671875,0.0244140625,0.04673090949654579,0.04482206702232361,0.9807324044197222,65.99706115299986,0.20177091658115387,0.6370241641998291,0.9970506232528794,0.9968326325675528,0.9958032112954188,120.8984375,0.029516220092773438,0.967529296875,0.20523963868618011
qwen,flickr30k,last_token,True,7,1.0,35,35,35,11,2.0,4096,0.001,False,1.25,1024,512,1200,0.0915529727935791,0.08997538788880774,0.09305734066292644,-0.0078125,0.0107421875,0.013916015625,0.032470703125,0.04673090949654579,0.04482206702232361,0.9807324044197222,65.99706115299986,0.20177091658115387,0.6370241641998291,0.9970506232528794,0.9968326325675528,0.9958032112954188,120.8984375,0.029516220092773438,0.967529296875,0.20523963868618011
qwen,flickr30k,last_token,True,7,1.0,35,35,35,11,2.0,4096,0.001,False,1.5,1024,512,1200,0.0915529727935791,0.08997538788880774,0.09305734066292644,-0.01611328125,0.009765625,0.0107421875,0.03662109375,0.04673090949654579,0.04482206702232361,0.9807324044197222,65.99706115299986,0.20177091658115387,0.6370241641998291,0.9970506232528794,0.9968326325675528,0.9958032112954188,120.8984375,0.029516220092773438,0.967529296875,0.20523963868618011
