family,dataset,pooling,audit,layer_idx,depth_fraction,llm_layer_number,vlm_layer_number,layer_number,seed,width_factor,d_sae,l1,normalize,dom_margin,train_examples,eval_examples,sae_steps,MFI,MFI_ci_low,MFI_ci_high,FMP,image_driven_frac,text_driven_frac,both_driven_frac,mean_text_delta,mean_image_delta,matched_gini,matched_eff_dim,image_only_mean_activation,llm_mean_activation,vlm_train_rec_r2,vlm_eval_rec_r2,llm_train_rec_r2,vlm_eval_l0,vlm_eval_active_frac,vlm_eval_dead_frac,vlm_eval_z_abs_mean
smol,coco_karpathy,last_token,True,0,0.0,0,0,0,11,2.0,4096,0.001,False,1.1,1024,512,1200,0.008226767182350159,0.00759613647412607,0.008826875939558932,0.110107421875,0.003173828125,0.109130859375,0.002197265625,0.006561698857694864,0.0016650671605020761,0.946871662853473,215.69784712933816,0.027586763724684715,0.2810653746128082,0.9994876491544122,0.999458755754436,0.9995463242632785,422.765625,0.10321426391601562,0.887451171875,0.029302341863512993
smol,coco_karpathy,last_token,True,0,0.0,0,0,0,11,2.0,4096,0.001,False,1.25,1024,512,1200,0.008226767182350159,0.00759613647412607,0.008826875939558932,0.102783203125,0.00146484375,0.107177734375,0.005859375,0.006561698857694864,0.0016650671605020761,0.946871662853473,215.69784712933816,0.027586763724684715,0.2810653746128082,0.9994876491544122,0.999458755754436,0.9995463242632785,422.765625,0.10321426391601562,0.887451171875,0.029302341863512993
smol,coco_karpathy,last_token,True,0,0.0,0,0,0,11,2.0,4096,0.001,False,1.5,1024,512,1200,0.008226767182350159,0.00759613647412607,0.008826875939558932,0.093017578125,0.001220703125,0.1025390625,0.0107421875,0.006561698857694864,0.0016650671605020761,0.946871662853473,215.69784712933816,0.027586763724684715,0.2810653746128082,0.9994876491544122,0.999458755754436,0.9995463242632785,422.765625,0.10321426391601562,0.887451171875,0.029302341863512993
smol,coco_karpathy,last_token,True,1,0.14285714285714285,3,3,3,11,2.0,4096,0.001,False,1.1,1024,512,1200,0.04512987285852432,0.044478838343820826,0.045795032458590866,0.08251953125,0.00927734375,0.085205078125,0.011962890625,0.02695709466934204,0.01817277818918228,0.9309087942077067,298.05623815281155,0.07937205582857132,7.491296768188477,0.9937417665173253,0.9918964812992883,0.9998463213843379,339.166015625,0.08280420303344727,0.90478515625,0.07737022638320923
smol,coco_karpathy,last_token,True,1,0.14285714285714285,3,3,3,11,2.0,4096,0.001,False,1.25,1024,512,1200,0.04512987285852432,0.044478838343820826,0.045795032458590866,0.0537109375,0.0078125,0.072265625,0.0263671875,0.02695709466934204,0.01817277818918228,0.9309087942077067,298.05623815281155,0.07937205582857132,7.491296768188477,0.9937417665173253,0.9918964812992883,0.9998463213843379,339.166015625,0.08280420303344727,0.90478515625,0.07737022638320923
smol,coco_karpathy,last_token,True,1,0.14285714285714285,3,3,3,11,2.0,4096,0.001,False,1.5,1024,512,1200,0.04512987285852432,0.044478838343820826,0.045795032458590866,0.005859375,0.00732421875,0.048828125,0.05029296875,0.02695709466934204,0.01817277818918228,0.9309087942077067,298.05623815281155,0.07937205582857132,7.491296768188477,0.9937417665173253,0.9918964812992883,0.9998463213843379,339.166015625,0.08280420303344727,0.90478515625,0.07737022638320923
smol,coco_karpathy,last_token,True,2,0.2857142857142857,7,7,7,11,2.0,4096,0.001,False,1.1,1024,512,1200,0.1586872637271881,0.15638378930816543,0.16087110369189758,0.099609375,0.005615234375,0.102783203125,0.0087890625,0.09800255298614502,0.0606846958398819,0.9197284628338089,353.71650506777763,0.16358807682991028,0.49232253432273865,0.9918498151596228,0.985616834378018,0.9947816243945176,361.060546875,0.0881495475769043,0.894775390625,0.19410553574562073
smol,coco_karpathy,last_token,True,2,0.2857142857142857,7,7,7,11,2.0,4096,0.001,False,1.25,1024,512,1200,0.1586872637271881,0.15638378930816543,0.16087110369189758,0.08447265625,0.00537109375,0.095458984375,0.016357421875,0.09800255298614502,0.0606846958398819,0.9197284628338089,353.71650506777763,0.16358807682991028,0.49232253432273865,0.9918498151596228,0.985616834378018,0.9947816243945176,361.060546875,0.0881495475769043,0.894775390625,0.19410553574562073
smol,coco_karpathy,last_token,True,2,0.2857142857142857,7,7,7,11,2.0,4096,0.001,False,1.5,1024,512,1200,0.1586872637271881,0.15638378930816543,0.16087110369189758,0.02490234375,0.0048828125,0.066162109375,0.046142578125,0.09800255298614502,0.0606846958398819,0.9197284628338089,353.71650506777763,0.16358807682991028,0.49232253432273865,0.9918498151596228,0.985616834378018,0.9947816243945176,361.060546875,0.0881495475769043,0.894775390625,0.19410553574562073
smol,coco_karpathy,last_token,True,3,0.42857142857142855,10,10,10,11,2.0,4096,0.001,False,1.1,1024,512,1200,0.2328208088874817,0.23010702822430176,0.23543512944379472,0.114990234375,0.009033203125,0.111328125,0.00537109375,0.14183631539344788,0.09098449349403381,0.9154904004736873,374.547322454778,0.2542407810688019,0.6604885458946228,0.9902284238859409,0.979615768645371,0.9958874182883618,369.234375,0.09014511108398438,0.887451171875,0.23199208080768585
