family,dataset,layer_idx,depth_fraction,llm_layer_number,vlm_layer_number,layer_number,K,n_concepts,n_pca_components,LPS_text,LPS_image_only,LPS_image_conditioned,NRI_image_conditioned,shared_neighbor_ratio,cross_superclass_gained_frac,random_shared_baseline,align_fit_proxy
pali,coco_karpathy,0,0.0,0,0,0,3,120,16,0.06827916666666665,0.05860833333333333,0.12058333333333333,0.736111111111111,0.2638888888888889,0.6412429378531075,0.025210084033613446,-0.05632669945624791
pali,coco_karpathy,0,0.0,0,0,0,5,120,16,0.09039730568783069,0.07381006084656085,0.1448983505952381,0.7066666666666667,0.29333333333333333,0.6663888888888889,0.04201680672268908,-0.05632669945624791
pali,coco_karpathy,0,0.0,0,0,0,10,120,16,0.14665624302941624,0.12325830096805833,0.19841218891384055,0.6591666666666666,0.3408333333333334,0.7647619047619049,0.08403361344537816,-0.05632669945624791
pali,coco_karpathy,0,0.0,0,0,0,20,120,16,0.19996510891111796,0.17863347677456554,0.26103229264362665,0.6024999999999999,0.3975,0.8569185192530782,0.16806722689075632,-0.05632669945624791
pali,coco_karpathy,1,0.14285714285714285,4,4,4,3,120,16,0.07436666666666666,0.07331666666666667,0.0945625,0.7916666666666666,0.20833333333333334,0.65,0.025210084033613446,-0.08963717961148077
pali,coco_karpathy,1,0.14285714285714285,4,4,4,5,120,16,0.09847561197089948,0.09321329887566138,0.12007344338624339,0.7516666666666667,0.24833333333333335,0.6823611111111111,0.04201680672268908,-0.08963717961148077
pali,coco_karpathy,1,0.14285714285714285,4,4,4,10,120,16,0.15037952459915965,0.1474375998218879,0.17984567739653345,0.6758333333333333,0.32416666666666666,0.744050925925926,0.08403361344537816,-0.08963717961148077
pali,coco_karpathy,1,0.14285714285714285,4,4,4,20,120,16,0.21846617172041927,0.20656543954375906,0.2455951196545642,0.6029166666666667,0.39708333333333334,0.8927227864727866,0.16806722689075632,-0.08963717961148077
pali,coco_karpathy,2,0.2857142857142857,7,7,7,3,120,16,0.0773125,0.07262083333333333,0.10060833333333334,0.7833333333333333,0.21666666666666667,0.6638888888888889,0.025210084033613446,-0.1901111430169935
pali,coco_karpathy,2,0.2857142857142857,7,7,7,5,120,16,0.10060887328042326,0.09419617989417989,0.11829373425925924,0.7633333333333333,0.23666666666666666,0.6669444444444445,0.04201680672268908,-0.1901111430169935
pali,coco_karpathy,2,0.2857142857142857,7,7,7,10,120,16,0.16796560962875057,0.1587934800008305,0.19494530609547472,0.6466666666666666,0.3533333333333334,0.7480621693121693,0.08403361344537816,-0.1901111430169935
pali,coco_karpathy,2,0.2857142857142857,7,7,7,20,120,16,0.2354789074297444,0.22591431816577756,0.26369576817769924,0.5775000000000001,0.42250000000000004,0.8978291962666963,0.16806722689075632,-0.1901111430169935
pali,coco_karpathy,3,0.42857142857142855,11,11,11,3,120,16,0.062154166666666656,0.0628,0.08450416666666666,0.8111111111111111,0.18888888888888886,0.6805555555555556,0.025210084033613446,-0.3866041505780007
pali,coco_karpathy,3,0.42857142857142855,11,11,11,5,120,16,0.082640917989418,0.0912641591931217,0.10757429814814815,0.7783333333333334,0.22166666666666668,0.6640277777777778,0.04201680672268908,-0.3866041505780007
pali,coco_karpathy,3,0.42857142857142855,11,11,11,10,120,16,0.15078017664434862,0.14747868185713964,0.17178457886737813,0.6925000000000001,0.3075,0.77635582010582,0.08403361344537816,-0.3866041505780007
pali,coco_karpathy,3,0.42857142857142855,11,11,11,20,120,16,0.2047662613115859,0.19450081956301268,0.22834715811960793,0.6337499999999998,0.36625,0.8891089978348106,0.16806722689075632,-0.3866041505780007
