family,dataset,layer_idx,depth_fraction,llm_layer_number,vlm_layer_number,layer_number,K,n_concepts,n_pca_components,LPS_text,LPS_image_only,LPS_image_conditioned,NRI_image_conditioned,shared_neighbor_ratio,cross_superclass_gained_frac,random_shared_baseline,align_fit_proxy
pali,flickr30k,0,0.0,0,0,0,3,120,16,0.06825,0.05289166666666666,0.122275,0.7416666666666667,0.2583333333333333,0.597457627118644,0.025210084033613446,-0.06596574903955443
pali,flickr30k,0,0.0,0,0,0,5,120,16,0.09424851011904761,0.06790216997354497,0.14695938366402114,0.7150000000000001,0.28500000000000003,0.6673669467787114,0.04201680672268908,-0.06596574903955443
pali,flickr30k,0,0.0,0,0,0,10,120,16,0.1319904729377574,0.09893910649371829,0.20045348342111238,0.6633333333333333,0.33666666666666667,0.7960416666666668,0.08403361344537816,-0.06596574903955443
pali,flickr30k,0,0.0,0,0,0,20,120,16,0.18636537234870265,0.14493535152989034,0.26354963703344947,0.5945833333333332,0.4054166666666666,0.8872178250670898,0.16806722689075632,-0.06596574903955443
pali,flickr30k,1,0.14285714285714285,4,4,4,3,120,16,0.06495416666666667,0.04056666666666666,0.07592083333333333,0.825,0.175,0.6069444444444444,0.025210084033613446,-0.11440513903273652
pali,flickr30k,1,0.14285714285714285,4,4,4,5,120,16,0.08329040634920634,0.058899829695767195,0.10592653816137565,0.7716666666666666,0.22833333333333333,0.6879166666666667,0.04201680672268908,-0.11440513903273652
pali,flickr30k,1,0.14285714285714285,4,4,4,10,120,16,0.1251331260738008,0.09827789186936922,0.1612019428666887,0.7008333333333333,0.2991666666666667,0.7943320105820106,0.08403361344537816,-0.11440513903273652
pali,flickr30k,1,0.14285714285714285,4,4,4,20,120,16,0.18288028169376003,0.1492239218857644,0.22088198301122836,0.6337499999999999,0.36624999999999996,0.9112053632641868,0.16806722689075632,-0.11440513903273652
pali,flickr30k,2,0.2857142857142857,7,7,7,3,120,16,0.07255833333333334,0.06609166666666666,0.10015833333333332,0.7805555555555556,0.21944444444444444,0.6106442577030813,0.025210084033613446,-0.22258824242887076
pali,flickr30k,2,0.2857142857142857,7,7,7,5,120,16,0.08988020787037036,0.08312273015873015,0.11592725958994708,0.7666666666666667,0.23333333333333334,0.6863888888888889,0.04201680672268908,-0.22258824242887076
