family,dataset,layer_idx,depth_fraction,llm_layer_number,vlm_layer_number,layer_number,K,n_concepts,n_pca_components,LPS_text,LPS_image_only,LPS_image_conditioned,NRI_image_conditioned,shared_neighbor_ratio,cross_superclass_gained_frac,random_shared_baseline,align_fit_proxy
qwen,flickr30k,0,0.0,0,0,0,3,120,16,0.04672916666666666,0.05066249999999999,0.07187916666666666,0.8388888888888888,0.16111111111111112,0.7263888888888889,0.025210084033613446,0.04828107608855425
qwen,flickr30k,0,0.0,0,0,0,5,120,16,0.05943542566137565,0.06572153855820105,0.08178441818783069,0.8366666666666667,0.16333333333333336,0.7541666666666667,0.04201680672268908,0.04828107608855425
qwen,flickr30k,0,0.0,0,0,0,10,120,16,0.09342522932185027,0.094414549553506,0.11938735570437414,0.785,0.21500000000000002,0.8330125661375661,0.08403361344537816,0.04828107608855425
qwen,flickr30k,0,0.0,0,0,0,20,120,16,0.14988761309679666,0.14424460875529088,0.1741962459591897,0.7029166666666666,0.2970833333333333,0.9111971936875188,0.16806722689075632,0.04828107608855425
qwen,flickr30k,1,0.14285714285714285,5,5,5,3,120,16,0.041475,0.036554166666666665,0.06271666666666667,0.8583333333333333,0.14166666666666666,0.6708333333333333,0.025210084033613446,0.022835487423407352
qwen,flickr30k,1,0.14285714285714285,5,5,5,5,120,16,0.05734207671957672,0.05433431845238095,0.07942878306878307,0.8333333333333335,0.16666666666666666,0.7293055555555555,0.04201680672268908,0.022835487423407352
qwen,flickr30k,1,0.14285714285714285,5,5,5,10,120,16,0.0913923639550856,0.09021758544702466,0.12711819768065763,0.7633333333333333,0.23666666666666666,0.7996064814814815,0.08403361344537816,0.022835487423407352
qwen,flickr30k,1,0.14285714285714285,5,5,5,20,120,16,0.14692316071915165,0.13618397250853886,0.18419723321245132,0.6791666666666667,0.32083333333333336,0.8932096677259216,0.16806722689075632,0.022835487423407352
qwen,flickr30k,2,0.2857142857142857,10,10,10,3,120,16,0.06295416666666666,0.05240416666666666,0.10969583333333334,0.7611111111111111,0.23888888888888887,0.6031073446327684,0.025210084033613446,-8.186148315192376e-05
qwen,flickr30k,2,0.2857142857142857,10,10,10,5,120,16,0.0821059886904762,0.06891787837301587,0.12881655052910052,0.7433333333333335,0.2566666666666667,0.6790277777777778,0.04201680672268908,-8.186148315192376e-05
qwen,flickr30k,2,0.2857142857142857,10,10,10,10,120,16,0.12643486802022313,0.10366313543485373,0.18050904987379912,0.6866666666666668,0.31333333333333335,0.7902314814814815,0.08403361344537816,-8.186148315192376e-05
qwen,flickr30k,2,0.2857142857142857,10,10,10,20,120,16,0.1788477672984019,0.15478076787973,0.24432547577040148,0.6154166666666666,0.38458333333333333,0.908148495023495,0.16806722689075632,-8.186148315192376e-05
qwen,flickr30k,3,0.42857142857142855,15,15,15,3,120,16,0.07189166666666666,0.07429583333333332,0.12818333333333334,0.7305555555555555,0.26944444444444443,0.6367521367521367,0.025210084033613446,-0.017714459905190605
qwen,flickr30k,3,0.42857142857142855,15,15,15,5,120,16,0.0860557505952381,0.08680755562169312,0.14923839047619047,0.7100000000000001,0.29000000000000004,0.6747899159663865,0.04201680672268908,-0.017714459905190605
qwen,flickr30k,3,0.42857142857142855,15,15,15,10,120,16,0.14578252480494486,0.120630631381733,0.20782298497464954,0.6474999999999999,0.3525,0.806167328042328,0.08403361344537816,-0.017714459905190605
