family,dataset,layer_idx,depth_fraction,llm_layer_number,vlm_layer_number,layer_number,K,n_concepts,n_pca_components,LPS_text,LPS_image_only,LPS_image_conditioned,NRI_image_conditioned,shared_neighbor_ratio,cross_superclass_gained_frac,random_shared_baseline,align_fit_proxy
qwen,pixelprose,0,0.0,0,0,0,3,120,16,0.07780416666666665,0.04957083333333333,0.061858333333333335,0.8527777777777776,0.1472222222222222,0.6416666666666667,0.025210084033613446,-0.0007389260832657563
qwen,pixelprose,0,0.0,0,0,0,5,120,16,0.0934781199074074,0.07058622876984127,0.09219039596560846,0.805,0.195,0.6890277777777778,0.04201680672268908,-0.0007389260832657563
qwen,pixelprose,0,0.0,0,0,0,10,120,16,0.13171845658565778,0.11921112967145217,0.14844966136798096,0.7166666666666667,0.2833333333333333,0.7572056878306879,0.08403361344537816,-0.0007389260832657563
qwen,pixelprose,0,0.0,0,0,0,20,120,16,0.1912512048307735,0.17821636395204865,0.21163465567356443,0.6362500000000001,0.3637500000000001,0.861858722704311,0.16806722689075632,-0.0007389260832657563
qwen,pixelprose,1,0.14285714285714285,5,5,5,3,120,16,0.06000833333333333,0.04658333333333334,0.07177083333333333,0.8333333333333334,0.16666666666666666,0.5944444444444444,0.025210084033613446,-0.013548720432097427
qwen,pixelprose,1,0.14285714285714285,5,5,5,5,120,16,0.07780721448412699,0.05826824973544974,0.0871226716931217,0.8150000000000001,0.18500000000000003,0.6598611111111111,0.04201680672268908,-0.013548720432097427
qwen,pixelprose,1,0.14285714285714285,5,5,5,10,120,16,0.11791512921012573,0.09509746714167377,0.13972548044069444,0.7358333333333335,0.2641666666666667,0.7346031746031746,0.08403361344537816,-0.013548720432097427
qwen,pixelprose,1,0.14285714285714285,5,5,5,20,120,16,0.17316049127618777,0.15000096401569238,0.200884430733266,0.6545833333333334,0.3454166666666667,0.8646444031186679,0.16806722689075632,-0.013548720432097427
qwen,pixelprose,2,0.2857142857142857,10,10,10,3,120,16,0.07683333333333334,0.046504166666666666,0.0860625,0.8055555555555555,0.19444444444444445,0.6214689265536723,0.025210084033613446,0.004750624142074167
qwen,pixelprose,2,0.2857142857142857,10,10,10,5,120,16,0.09186917096560845,0.06856524146825396,0.12546992202380952,0.7316666666666667,0.26833333333333337,0.6622222222222223,0.04201680672268908,0.004750624142074167
qwen,pixelprose,2,0.2857142857142857,10,10,10,10,120,16,0.14198895196423647,0.11695641191425793,0.18646745562054323,0.6599999999999999,0.34,0.7926488095238095,0.08403361344537816,0.004750624142074167
qwen,pixelprose,2,0.2857142857142857,10,10,10,20,120,16,0.22186512091945648,0.17218143980374062,0.2542699728355755,0.5870833333333333,0.41291666666666665,0.9116624919198448,0.16806722689075632,0.004750624142074167
qwen,pixelprose,3,0.42857142857142855,15,15,15,3,120,16,0.07207083333333333,0.05308333333333333,0.08859166666666665,0.7888888888888889,0.21111111111111114,0.5916666666666667,0.025210084033613446,-0.016159247659985887
qwen,pixelprose,3,0.42857142857142855,15,15,15,5,120,16,0.10376809953703703,0.0835163017195767,0.13452509351851852,0.7100000000000001,0.29,0.6730555555555555,0.04201680672268908,-0.016159247659985887
qwen,pixelprose,3,0.42857142857142855,15,15,15,10,120,16,0.15886332318253918,0.12882948979212033,0.20593988747990866,0.6275,0.3725,0.7888921957671957,0.08403361344537816,-0.016159247659985887
qwen,pixelprose,3,0.42857142857142855,15,15,15,20,120,16,0.23149705757593156,0.1889641778822262,0.2754423753062238,0.5604166666666667,0.4395833333333333,0.91174142986643,0.16806722689075632,-0.016159247659985887
qwen,pixelprose,4,0.5714285714285714,20,20,20,3,120,16,0.06911666666666666,0.058649999999999994,0.09695,0.7805555555555554,0.21944444444444441,0.5847222222222223,0.025210084033613446,0.013985519033745564
qwen,pixelprose,4,0.5714285714285714,20,20,20,5,120,16,0.09479587797619048,0.08017902149470899,0.13584522837301588,0.7116666666666667,0.2883333333333334,0.6584722222222222,0.04201680672268908,0.013985519033745564
qwen,pixelprose,4,0.5714285714285714,20,20,20,10,120,16,0.14881863537231943,0.12734540920679707,0.20796718414798104,0.6275000000000001,0.37249999999999994,0.7914451058201059,0.08403361344537816,0.013985519033745564
qwen,pixelprose,4,0.5714285714285714,20,20,20,20,120,16,0.21296428917019616,0.18823820619372075,0.280880062943221,0.5545833333333334,0.4454166666666667,0.9057918103138692,0.16806722689075632,0.013985519033745564
