family,dataset,layer_idx,depth_fraction,llm_layer_number,vlm_layer_number,layer_number,K,n_concepts,n_pca_components,LPS_text,LPS_image_only,LPS_image_conditioned,NRI_image_conditioned,shared_neighbor_ratio,cross_superclass_gained_frac,random_shared_baseline,align_fit_proxy
smol,flickr30k,0,0.0,0,0,0,3,120,16,0.028504166666666664,0.028504166666666664,0.028504166666666664,0.936111111111111,0.06388888888888888,0.8305555555555556,0.025210084033613446,-1.13096047977414
smol,flickr30k,0,0.0,0,0,0,5,120,16,0.0375040162037037,0.03424631342592592,0.03439818842592592,0.9266666666666666,0.07333333333333333,0.8341666666666666,0.04201680672268908,-1.13096047977414
smol,flickr30k,0,0.0,0,0,0,10,120,16,0.06415421552976731,0.06186052141983452,0.06492340793176196,0.8650000000000001,0.13500000000000004,0.8573478835978836,0.08403361344537816,-1.13096047977414
smol,flickr30k,0,0.0,0,0,0,20,120,16,0.1120223960673677,0.10954884440783352,0.11224186813991999,0.7733333333333334,0.22666666666666666,0.8989812746091771,0.16806722689075632,-1.13096047977414
smol,flickr30k,1,0.14285714285714285,3,3,3,3,120,16,0.0259,0.025141666666666666,0.0260875,0.936111111111111,0.06388888888888888,0.7180555555555556,0.025210084033613446,-13.310972694984569
smol,flickr30k,1,0.14285714285714285,3,3,3,5,120,16,0.044969285978835975,0.0451424332010582,0.04402431005291005,0.895,0.10500000000000001,0.7477777777777779,0.04201680672268908,-13.310972694984569
smol,flickr30k,1,0.14285714285714285,3,3,3,10,120,16,0.07035979882458065,0.07196331693255814,0.0719855898327216,0.8524999999999999,0.14750000000000002,0.8073015873015872,0.08403361344537816,-13.310972694984569
smol,flickr30k,1,0.14285714285714285,3,3,3,20,120,16,0.1092272678401146,0.10969004280397046,0.11088981139810007,0.7850000000000001,0.215,0.833470425450882,0.16806722689075632,-13.310972694984569
smol,flickr30k,2,0.2857142857142857,7,7,7,3,120,16,0.05251666666666666,0.04907500000000001,0.051041666666666666,0.8888888888888888,0.1111111111111111,0.761904761904762,0.025210084033613446,-0.5620974860472678
smol,flickr30k,2,0.2857142857142857,7,7,7,5,120,16,0.0755036306216931,0.07017142314814814,0.07092789305555557,0.8533333333333334,0.14666666666666667,0.7998611111111111,0.04201680672268908,-0.5620974860472678
smol,flickr30k,2,0.2857142857142857,7,7,7,10,120,16,0.10417094624841586,0.10014855988014798,0.10431447859364132,0.805,0.195,0.8869742063492064,0.08403361344537816,-0.5620974860472678
smol,flickr30k,2,0.2857142857142857,7,7,7,20,120,16,0.1589534306892891,0.15203239690281167,0.15793828594094303,0.7179166666666668,0.28208333333333335,0.929529024896672,0.16806722689075632,-0.5620974860472678
smol,flickr30k,3,0.42857142857142855,10,10,10,3,120,16,0.04609166666666666,0.04068333333333333,0.04204583333333333,0.9083333333333333,0.09166666666666666,0.7458333333333333,0.025210084033613446,-0.5494180282215821
smol,flickr30k,3,0.42857142857142855,10,10,10,5,120,16,0.06498754735449735,0.05978760251322751,0.06378611216931217,0.8650000000000001,0.13499999999999998,0.7936111111111112,0.04201680672268908,-0.5494180282215821
smol,flickr30k,3,0.42857142857142855,10,10,10,10,120,16,0.09864785022760061,0.09581019186370822,0.0999118054129294,0.8075,0.1925,0.8730621693121693,0.08403361344537816,-0.5494180282215821
smol,flickr30k,3,0.42857142857142855,10,10,10,20,120,16,0.15299616864584475,0.14652376153708516,0.15145140226894366,0.7220833333333334,0.2779166666666667,0.9368530128640423,0.16806722689075632,-0.5494180282215821
smol,flickr30k,4,0.5714285714285714,13,13,13,3,120,16,0.0385625,0.03950833333333333,0.04087083333333333,0.9111111111111111,0.08888888888888888,0.7583333333333333,0.025210084033613446,-0.7428609099520522
smol,flickr30k,4,0.5714285714285714,13,13,13,5,120,16,0.05269589880952381,0.052391732142857146,0.05370615251322751,0.8900000000000001,0.11,0.8068055555555556,0.04201680672268908,-0.7428609099520522
smol,flickr30k,4,0.5714285714285714,13,13,13,10,120,16,0.08648896956967327,0.08400092518639124,0.08876583108425443,0.8266666666666667,0.17333333333333337,0.8666832010582011,0.08403361344537816,-0.7428609099520522
smol,flickr30k,4,0.5714285714285714,13,13,13,20,120,16,0.14491260289554522,0.1401629772254772,0.14459720487365935,0.73,0.26999999999999996,0.9337047756165403,0.16806722689075632,-0.7428609099520522
smol,flickr30k,5,0.7142857142857142,16,16,16,3,120,16,0.037125,0.0344,0.03515833333333333,0.9194444444444443,0.08055555555555555,0.7625,0.025210084033613446,-0.5297340622714841
smol,flickr30k,5,0.7142857142857142,16,16,16,5,120,16,0.05432442334656083,0.05239840575396825,0.05627188399470899,0.8733333333333334,0.12666666666666665,0.8072222222222223,0.04201680672268908,-0.5297340622714841
smol,flickr30k,5,0.7142857142857142,16,16,16,10,120,16,0.09181912519243238,0.08799152847938356,0.09389931888452682,0.8108333333333334,0.18916666666666668,0.8705158730158732,0.08403361344537816,-0.5297340622714841
