experiment,layer,reconstruction_loss,avg_l0,used_samples
pixelprose_image_text,0,0.579635,35.204251,150
pixelprose_image_text,1,0.703346,37.432316,150
pixelprose_image_text,2,1.075918,54.052117,150
pixelprose_image_text,3,1.921405,29.861748,150
pixelprose_image_text,4,2.498041,69.028483,150
pixelprose_image_text,5,17.097728,50.23551,150
pixelprose_image_text,6,28.132781,53.842404,150
pixelprose_image_text,7,34.895013,50.15792,150
pixelprose_image_text,8,29.436199,56.608138,150
pixelprose_image_text,9,22.585139,60.481098,150
pixelprose_image_text,10,16.264222,61.467956,150
pixelprose_image_text,11,13.424741,54.360026,150
pixelprose_image_text,12,27.132561,67.736926,150
pixelprose_image_text,13,40.82354,63.720737,150
pixelprose_image_text,14,57.222966,74.702024,150
pixelprose_image_text,15,43.468302,49.321339,150
pixelprose_image_text,16,91.844538,60.30982,150
pixelprose_image_text,17,75.458177,61.516793,150
pixelprose_image_text,18,89.110135,69.943628,150
pixelprose_image_text,19,102.993739,78.540553,150
pixelprose_image_text,20,113.590863,82.600242,150
pixelprose_image_text,21,65.272466,73.071695,150
pixelprose_image_text,22,53.164379,82.45988,150
pixelprose_image_text,23,36.590646,85.587767,150
pixelprose_image_text,24,41.592464,85.149231,150
pixelprose_image_text,25,42.165554,99.38997,150
pixelprose_text_only,0,0.249818,89.588993,150
pixelprose_text_only,1,0.393142,88.018246,150
pixelprose_text_only,2,0.478864,121.835609,150
pixelprose_text_only,3,0.75208,67.175362,150
pixelprose_text_only,4,0.686813,141.701032,150
pixelprose_text_only,5,1.021005,74.010614,150
pixelprose_text_only,6,1.018501,78.548626,150
pixelprose_text_only,7,1.292172,69.937094,150
pixelprose_text_only,8,1.285362,65.430803,150
pixelprose_text_only,9,1.442103,61.935961,150
pixelprose_text_only,10,1.718763,85.193608,150
pixelprose_text_only,11,2.189719,76.364737,150
pixelprose_text_only,12,2.546711,85.870312,150
pixelprose_text_only,13,3.237939,80.910381,150
pixelprose_text_only,14,3.693376,103.114483,150
pixelprose_text_only,15,4.463864,58.382565,150
pixelprose_text_only,16,5.614022,66.299863,150
pixelprose_text_only,17,5.604006,60.408503,150
pixelprose_text_only,18,6.58617,54.380657,150
pixelprose_text_only,19,7.736436,52.911574,150
pixelprose_text_only,20,9.870625,47.940493,150
pixelprose_text_only,21,13.305054,46.971379,150
pixelprose_text_only,22,19.7184,58.148411,150
pixelprose_text_only,23,26.068099,56.412856,150
pixelprose_text_only,24,37.078449,76.157951,150
pixelprose_text_only,25,43.807936,103.904418,150
