family,dataset,dom_margin,mfi,mfi_lo,mfi_hi,mfi_n,fmp,fmp_lo,fmp_hi,fmp_n,image_driven_frac,image_driven_frac_lo,image_driven_frac_hi,image_driven_frac_n,text_driven_frac,text_driven_frac_lo,text_driven_frac_hi,text_driven_frac_n,both_driven_frac,both_driven_frac_lo,both_driven_frac_hi,both_driven_frac_n
Pali,COCO,1.1,0.442,0.09,0.722,208,0.549,0.103,1.0,208,0.55,0.103,1.0,208,0.002,0.0,0.006,208,0.003,0.0,0.008,208
Pali,COCO,1.25,0.442,0.09,0.722,208,0.548,0.102,1.0,208,0.55,0.103,1.0,208,0.002,0.0,0.005,208,0.003,0.0,0.009,208
Pali,COCO,1.5,0.442,0.09,0.722,208,0.536,0.093,1.0,208,0.544,0.101,1.0,208,0.002,0.0,0.005,208,0.009,0.0,0.062,208
Pali,Flickr30k,1.1,0.458,0.086,0.751,208,0.513,0.096,1.0,208,0.526,0.099,1.0,208,0.005,0.0,0.017,208,0.018,0.0,0.103,208
Pali,Flickr30k,1.25,0.458,0.086,0.751,208,0.418,-0.021,0.999,208,0.48,0.066,1.0,208,0.004,0.0,0.009,208,0.065,0.0,0.423,208
Pali,Flickr30k,1.5,0.458,0.086,0.751,208,0.166,-0.844,0.959,208,0.355,0.013,0.979,208,0.003,0.0,0.008,208,0.192,0.005,0.922,208
Pali,PixelProse,1.1,0.481,0.085,0.812,208,0.507,0.111,1.0,208,0.013,0.0,0.162,208,0.517,0.004,1.0,208,0.023,0.0,0.219,208
Pali,PixelProse,1.25,0.481,0.085,0.812,208,0.335,-0.39,1.0,208,0.012,0.0,0.161,208,0.431,0.004,1.0,208,0.109,0.0,0.695,208
Pali,PixelProse,1.5,0.481,0.085,0.812,208,-0.067,-0.949,0.96,208,0.011,0.0,0.153,208,0.231,0.004,0.98,208,0.31,0.007,0.975,208
Qwen,COCO,1.1,0.436,0.105,0.785,208,0.396,0.014,1.0,208,0.472,0.022,1.0,208,0.007,0.0,0.049,208,0.082,0.0,0.314,208
Qwen,COCO,1.25,0.436,0.105,0.785,208,0.106,-0.602,1.0,208,0.329,0.017,1.0,208,0.004,0.0,0.03,208,0.228,0.0,0.801,208
Qwen,COCO,1.5,0.436,0.105,0.785,208,-0.132,-0.99,1.0,208,0.211,0.003,1.0,208,0.003,0.0,0.018,208,0.346,0.0,0.995,208
Qwen,Flickr30k,1.1,0.452,0.075,0.864,208,0.317,-0.066,0.996,208,0.053,0.0,0.392,208,0.386,0.001,0.998,208,0.122,0.002,0.533,208
Qwen,Flickr30k,1.25,0.452,0.075,0.864,208,-0.033,-0.878,0.921,208,0.016,0.0,0.158,208,0.248,0.001,0.961,208,0.297,0.005,0.939,208
Qwen,Flickr30k,1.5,0.452,0.075,0.864,208,-0.369,-0.997,0.236,208,0.009,0.0,0.157,208,0.087,0.001,0.618,208,0.465,0.006,0.998,208
Qwen,PixelProse,1.1,0.417,0.028,0.744,208,0.563,0.099,1.0,208,0.011,0.0,0.186,208,0.555,0.002,1.0,208,0.003,0.0,0.014,208
Qwen,PixelProse,1.25,0.417,0.028,0.744,208,0.558,0.094,1.0,208,0.011,0.0,0.179,208,0.553,0.002,1.0,208,0.006,0.0,0.016,208
Qwen,PixelProse,1.5,0.417,0.028,0.744,208,0.53,0.075,1.0,208,0.01,0.0,0.167,208,0.54,0.002,1.0,208,0.02,0.0,0.108,208
Smol,COCO,1.1,0.319,0.053,0.682,208,0.518,0.071,1.0,208,0.516,0.014,1.0,208,0.003,0.0,0.065,208,0.001,0.0,0.008,208
Smol,COCO,1.25,0.319,0.053,0.682,208,0.516,0.07,1.0,208,0.516,0.013,1.0,208,0.003,0.0,0.03,208,0.002,0.0,0.016,208
Smol,COCO,1.5,0.319,0.053,0.682,208,0.514,0.025,1.0,208,0.515,0.012,1.0,208,0.002,0.0,0.018,208,0.003,0.0,0.05,208
Smol,Flickr30k,1.1,0.32,0.051,0.656,208,0.518,0.075,1.0,208,0.516,0.02,1.0,208,0.004,0.0,0.072,208,0.001,0.0,0.003,208
Smol,Flickr30k,1.25,0.32,0.051,0.656,208,0.517,0.074,1.0,208,0.516,0.018,1.0,208,0.003,0.0,0.042,208,0.002,0.0,0.005,208
Smol,Flickr30k,1.5,0.32,0.051,0.656,208,0.515,0.068,1.0,208,0.515,0.016,1.0,208,0.002,0.0,0.02,208,0.003,0.0,0.012,208
Smol,PixelProse,1.1,0.351,0.057,0.797,208,0.528,0.088,1.0,208,0.526,0.01,1.0,208,0.005,0.0,0.092,208,0.002,0.0,0.008,208
Smol,PixelProse,1.25,0.351,0.057,0.797,208,0.527,0.078,1.0,208,0.526,0.01,1.0,208,0.004,0.0,0.065,208,0.003,0.0,0.009,208
Smol,PixelProse,1.5,0.351,0.057,0.797,208,0.524,0.073,1.0,208,0.525,0.009,1.0,208,0.003,0.0,0.035,208,0.004,0.0,0.02,208
