family,dataset,pooling,mfi,mfi_lo,mfi_hi,mfi_n,fmp,fmp_lo,fmp_hi,fmp_n,mean_text_delta,mean_text_delta_lo,mean_text_delta_hi,mean_text_delta_n,mean_image_delta,mean_image_delta_lo,mean_image_delta_hi,mean_image_delta_n,vlm_eval_rec_r2,vlm_eval_rec_r2_lo,vlm_eval_rec_r2_hi,vlm_eval_rec_r2_n,vlm_eval_l0,vlm_eval_l0_lo,vlm_eval_l0_hi,vlm_eval_l0_n,vlm_eval_dead_frac,vlm_eval_dead_frac_lo,vlm_eval_dead_frac_hi,vlm_eval_dead_frac_n
Pali,COCO,all_valid,0.229,0.078,0.539,24,0.169,0.109,0.266,24,0.04,0.005,0.114,24,0.188,0.073,0.425,24,0.966,0.913,0.993,24,574.243,382.312,793.229,24,0.828,0.731,0.887,24
Pali,COCO,final_quarter,0.456,0.09,0.722,576,0.578,0.102,1.0,576,0.138,0.021,0.233,576,0.318,0.07,0.498,576,0.858,0.637,0.988,576,1239.937,357.695,1943.223,576,0.415,0.0,0.895,576
Pali,COCO,last_token,0.321,0.1,0.803,24,0.128,0.008,0.178,24,0.115,0.02,0.334,24,0.206,0.08,0.469,24,0.975,0.95,0.997,24,505.064,410.213,616.734,24,0.854,0.816,0.885,24
Pali,Flickr30k,all_valid,0.22,0.075,0.516,24,0.154,0.104,0.227,24,0.047,0.007,0.125,24,0.173,0.068,0.391,24,0.968,0.919,0.992,24,543.138,376.385,739.215,24,0.842,0.768,0.888,24
Pali,Flickr30k,final_quarter,0.475,0.087,0.752,576,0.385,-0.711,1.0,576,0.184,0.03,0.314,576,0.291,0.057,0.471,576,0.853,0.644,0.989,576,1232.287,348.633,1940.805,576,0.421,0.0,0.898,576
Pali,Flickr30k,last_token,0.289,0.085,0.715,24,0.123,-0.004,0.165,24,0.1,0.013,0.294,24,0.189,0.072,0.421,24,0.978,0.954,0.997,24,474.33,374.023,559.865,24,0.863,0.835,0.89,24
Pali,PixelProse,all_valid,0.262,0.087,0.632,24,0.166,0.112,0.219,24,0.078,0.013,0.2,24,0.185,0.074,0.432,24,0.967,0.942,0.99,24,595.014,402.4,738.949,24,0.824,0.77,0.875,24
Pali,PixelProse,final_quarter,0.493,0.085,0.812,576,0.271,-0.764,1.0,576,0.293,0.053,0.491,576,0.201,0.032,0.334,576,0.859,0.661,0.989,576,1237.978,501.85,1965.723,576,0.42,0.0,0.855,576
Pali,PixelProse,last_token,0.4,0.16,0.961,24,0.055,-0.16,0.184,24,0.184,0.044,0.521,24,0.217,0.114,0.44,24,0.957,0.934,0.995,24,545.376,443.615,610.404,24,0.832,0.806,0.86,24
Qwen,COCO,all_valid,0.216,0.131,0.318,24,0.172,0.102,0.198,24,0.026,0.005,0.055,24,0.19,0.126,0.263,24,0.989,0.967,0.997,24,616.478,383.242,711.57,24,0.824,0.798,0.889,24
Qwen,COCO,final_quarter,0.456,0.106,0.786,576,0.127,-0.979,1.0,576,0.188,0.026,0.365,576,0.269,0.08,0.44,576,0.868,0.717,0.989,576,1257.804,384.42,1922.383,576,0.408,0.0,0.889,576
Qwen,COCO,last_token,0.164,0.014,0.332,24,-0.004,-0.073,0.066,24,0.087,0.008,0.173,24,0.077,0.006,0.159,24,0.991,0.985,0.997,24,331.608,137.607,458.998,24,0.903,0.864,0.962,24
Qwen,Flickr30k,all_valid,0.209,0.116,0.335,24,0.158,0.107,0.183,24,0.042,0.009,0.097,24,0.167,0.107,0.238,24,0.99,0.971,0.997,24,595.505,412.871,683.727,24,0.836,0.815,0.881,24
Qwen,Flickr30k,final_quarter,0.475,0.076,0.865,576,-0.037,-0.967,0.931,576,0.262,0.039,0.471,576,0.213,0.037,0.394,576,0.858,0.697,0.988,576,1274.374,387.18,2025.713,576,0.408,0.0,0.888,576
Qwen,Flickr30k,last_token,0.136,0.011,0.273,24,-0.003,-0.078,0.07,24,0.071,0.007,0.139,24,0.065,0.004,0.134,24,0.992,0.988,0.997,24,306.895,120.898,449.182,24,0.912,0.873,0.968,24
Qwen,PixelProse,all_valid,0.236,0.141,0.367,24,0.202,0.007,0.306,24,0.067,0.01,0.155,24,0.169,0.131,0.212,24,0.979,0.916,0.995,24,720.646,366.973,854.367,24,0.774,0.692,0.893,24
Qwen,PixelProse,final_quarter,0.435,0.028,0.744,576,0.584,0.094,1.0,576,0.317,0.025,0.492,576,0.119,0.003,0.26,576,0.856,0.692,0.986,576,1295.813,398.783,2090.879,576,0.401,0.0,0.874,576
Qwen,PixelProse,last_token,0.151,0.012,0.274,24,0.086,-0.01,0.162,24,0.097,0.008,0.181,24,0.054,0.004,0.101,24,0.987,0.979,0.995,24,323.094,125.143,483.783,24,0.898,0.848,0.966,24
Smol,COCO,all_valid,0.152,0.045,0.555,24,0.104,0.073,0.158,24,0.002,0.0,0.01,24,0.15,0.044,0.545,24,0.995,0.989,0.997,24,391.542,265.15,601.004,24,0.896,0.841,0.927,24
Smol,COCO,final_quarter,0.325,0.054,0.682,576,0.553,0.073,1.0,576,0.016,0.001,0.042,576,0.308,0.053,0.64,576,0.937,0.865,0.995,576,1125.491,261.463,1876.074,576,0.446,0.0,0.927,576
Smol,COCO,last_token,0.34,0.008,1.126,24,0.034,-0.058,0.112,24,0.186,0.007,0.595,24,0.154,0.002,0.531,24,0.982,0.973,0.999,24,318.793,185.135,422.766,24,0.908,0.887,0.947,24
Smol,Flickr30k,all_valid,0.139,0.038,0.504,24,0.103,0.066,0.157,24,0.004,0.001,0.016,24,0.136,0.037,0.487,24,0.995,0.987,0.997,24,385.248,228.77,601.42,24,0.896,0.842,0.933,24
