family,dataset,k,lps_text,lps_text_lo,lps_text_hi,lps_text_n,lps_image_only,lps_image_only_lo,lps_image_only_hi,lps_image_only_n,lps_image_conditioned,lps_image_conditioned_lo,lps_image_conditioned_hi,lps_image_conditioned_n,nri_image_conditioned,nri_image_conditioned_lo,nri_image_conditioned_hi,nri_image_conditioned_n,shared_neighbor_ratio,shared_neighbor_ratio_lo,shared_neighbor_ratio_hi,shared_neighbor_ratio_n,cross_superclass_gained_frac,cross_superclass_gained_frac_lo,cross_superclass_gained_frac_hi,cross_superclass_gained_frac_n,random_shared_baseline,random_shared_baseline_lo,random_shared_baseline_hi,random_shared_baseline_n,align_fit_proxy,align_fit_proxy_lo,align_fit_proxy_hi,align_fit_proxy_n,n_concepts,n_concepts_lo,n_concepts_hi,n_concepts_n
Pali,COCO,3,0.069,0.051,0.08,8,0.067,0.059,0.077,8,0.092,0.066,0.117,8,0.794,0.742,0.849,8,0.206,0.151,0.258,8,0.628,0.579,0.678,8,0.025,0.025,0.025,8,-0.294,-0.611,-0.062,8,120.0,120.0,120.0,8
Pali,COCO,5,0.094,0.08,0.106,8,0.091,0.074,0.109,8,0.12,0.096,0.143,8,0.753,0.709,0.791,8,0.247,0.209,0.291,8,0.658,0.634,0.68,8,0.042,0.042,0.042,8,-0.294,-0.611,-0.062,8,120.0,120.0,120.0,8
Pali,COCO,10,0.16,0.147,0.187,8,0.155,0.127,0.186,8,0.189,0.16,0.221,8,0.66,0.602,0.696,8,0.34,0.304,0.398,8,0.762,0.744,0.778,8,0.084,0.084,0.084,8,-0.294,-0.611,-0.062,8,120.0,120.0,120.0,8
Pali,COCO,20,0.22,0.201,0.248,8,0.212,0.181,0.244,8,0.253,0.227,0.288,8,0.595,0.546,0.63,8,0.405,0.37,0.454,8,0.885,0.859,0.902,8,0.168,0.168,0.168,8,-0.294,-0.611,-0.062,8,120.0,120.0,120.0,8
Pali,Flickr30k,3,0.061,0.047,0.074,8,0.057,0.041,0.07,8,0.088,0.059,0.118,8,0.805,0.748,0.863,8,0.195,0.137,0.252,8,0.625,0.599,0.647,8,0.025,0.025,0.025,8,-0.285,-0.564,-0.074,8,120.0,120.0,120.0,8
Pali,Flickr30k,5,0.08,0.064,0.097,8,0.071,0.055,0.083,8,0.11,0.078,0.144,8,0.774,0.719,0.832,8,0.226,0.168,0.281,8,0.687,0.669,0.708,8,0.042,0.042,0.042,8,-0.285,-0.564,-0.074,8,120.0,120.0,120.0,8
Pali,Flickr30k,10,0.117,0.1,0.133,8,0.104,0.088,0.122,8,0.161,0.129,0.197,8,0.712,0.667,0.756,8,0.288,0.244,0.333,8,0.808,0.795,0.826,8,0.084,0.084,0.084,8,-0.285,-0.564,-0.074,8,120.0,120.0,120.0,8
Pali,Flickr30k,20,0.17,0.149,0.189,8,0.153,0.138,0.176,8,0.217,0.178,0.26,8,0.647,0.597,0.694,8,0.353,0.306,0.403,8,0.912,0.89,0.929,8,0.168,0.168,0.168,8,-0.285,-0.564,-0.074,8,120.0,120.0,120.0,8
Pali,PixelProse,3,0.084,0.059,0.11,8,0.057,0.041,0.085,8,0.083,0.061,0.106,8,0.811,0.759,0.858,8,0.189,0.142,0.241,8,0.595,0.528,0.643,8,0.025,0.025,0.025,8,-0.228,-0.527,-0.061,8,120.0,120.0,120.0,8
Pali,PixelProse,5,0.116,0.086,0.147,8,0.082,0.058,0.115,8,0.115,0.087,0.138,8,0.758,0.71,0.811,8,0.242,0.189,0.29,8,0.658,0.615,0.703,8,0.042,0.042,0.042,8,-0.228,-0.527,-0.061,8,120.0,120.0,120.0,8
