family,dataset,layer_idx,depth_fraction,llm_layer_number,vlm_layer_number,layer_number,K,n_concepts,n_pca_components,LPS_text,LPS_image_only,LPS_image_conditioned,NRI_image_conditioned,shared_neighbor_ratio,cross_superclass_gained_frac,random_shared_baseline,align_fit_proxy
qwen,pixelprose,0,0.0,0,0,0,3,120,16,0.0778041666666666,0.0495708333333333,0.0618583333333333,0.8527777777777776,0.1472222222222222,0.6416666666666667,0.0252100840336134,-0.0007389260832657
qwen,pixelprose,0,0.0,0,0,0,5,120,16,0.0934781199074074,0.0705862287698412,0.0921903959656084,0.805,0.195,0.6890277777777778,0.042016806722689,-0.0007389260832657
qwen,pixelprose,0,0.0,0,0,0,10,120,16,0.1317184565856577,0.1192111296714521,0.1484496613679809,0.7166666666666667,0.2833333333333333,0.7572056878306879,0.0840336134453781,-0.0007389260832657
qwen,pixelprose,0,0.0,0,0,0,20,120,16,0.1912512048307735,0.1782163639520486,0.2116346556735644,0.6362500000000001,0.3637500000000001,0.861858722704311,0.1680672268907563,-0.0007389260832657
qwen,pixelprose,1,0.1428571428571428,5,5,5,3,120,16,0.0600083333333333,0.0465833333333333,0.0717708333333333,0.8333333333333334,0.1666666666666666,0.5944444444444444,0.0252100840336134,-0.0135487204320974
qwen,pixelprose,1,0.1428571428571428,5,5,5,5,120,16,0.0778072144841269,0.0582682497354497,0.0871226716931217,0.8150000000000001,0.185,0.6598611111111111,0.042016806722689,-0.0135487204320974
qwen,pixelprose,1,0.1428571428571428,5,5,5,10,120,16,0.1179151292101257,0.0950974671416737,0.1397254804406944,0.7358333333333335,0.2641666666666667,0.7346031746031746,0.0840336134453781,-0.0135487204320974
qwen,pixelprose,1,0.1428571428571428,5,5,5,20,120,16,0.1731604912761877,0.1500009640156923,0.200884430733266,0.6545833333333334,0.3454166666666667,0.8646444031186679,0.1680672268907563,-0.0135487204320974
qwen,pixelprose,2,0.2857142857142857,10,10,10,3,120,16,0.0768333333333333,0.0465041666666666,0.0860625,0.8055555555555555,0.1944444444444444,0.6214689265536723,0.0252100840336134,0.0047506241420741
qwen,pixelprose,2,0.2857142857142857,10,10,10,5,120,16,0.0918691709656084,0.0685652414682539,0.1254699220238095,0.7316666666666667,0.2683333333333333,0.6622222222222223,0.042016806722689,0.0047506241420741
